commit_id,project,fold,our_actionable_ratio,baseline_actionable_ratio
99c07d967a7a27ce06ded601cbc4c36d1b6702e2,flink,2,0.6,0.4
57ec03ed3dc6ce3fbb563d3274b032945ba53510,flink,2,0.6,0.2
8bb9aa4ed96f8f9fd189f67db869f177f7231e84,flink,2,0.6,0.4
78df079bec8e63361f246fc698e0787ba232f083,flink,2,0.6,0.2
a666455c98c269c63373e991c6ca2751e132a7c8,flink,2,0.6,0.4
67bf467a10f68a26ad573d5426c307f0402423bd,flink,3,0.6,0.2
3f0ac26e9f502f9e032af0375d52c5e4af2126f3,flink,3,0.6,0.2
bf0846fc61d38d56a6d0bd690dff64f8ac0a7082,flink,3,0.8,0.6
1ceb89a979d560944e1099fa4700e46c09a79484,flink,3,0.6,0.4
8dfb9d00653271ea4adbeb752da8f62d7647b6d8,flink,3,0.6,0.6
59eab45458b3b1637ccbc5dafd326cc84ffb9655,flink,3,0.6,0.2
2cb37cb937c6f225ad7afe829a28a6eda043ffc1,flink,3,0.6,0.2
57ec03ed3dc6ce3fbb563d3274b032945ba53510,flink,3,0.6,0.4
8bb9aa4ed96f8f9fd189f67db869f177f7231e84,flink,3,0.6,0.2
78df079bec8e63361f246fc698e0787ba232f083,flink,3,0.6,0.4
